ensembl_gene_id	gene_name	gene_biotype
ENSMUSG00000024027	Glp1r	protein_coding
ENSMUSG00000033126	Ybey	protein_coding
ENSMUSG00000060882	Kcnd2	protein_coding
ENSMUSG00000047921	Trappc9	protein_coding
ENSMUSG00000057977	Skint11	protein_coding
ENSMUSG00000000171	Sdhd	protein_coding
ENSMUSG00000001150	Mcm3ap	protein_coding
ENSMUSG00000056223	4930458L03Rik	protein_coding
ENSMUSG00000024983	Vti1a	protein_coding
ENSMUSG00000039016	Timm8b	protein_coding
ENSMUSG00000067377	Tspan6	protein_coding
ENSMUSG00000009471	Myod1	protein_coding
ENSMUSG00000059820	AU019823	protein_coding
ENSMUSG00000070713	Gm10282	protein_coding
ENSMUSG00000030688	Stard10	protein_coding
ENSMUSG00000055148	Klf2	protein_coding
ENSMUSG00000055010	A830031A19Rik	protein_coding
ENSMUSG00000041220	Elovl6	protein_coding
ENSMUSG00000029669	Tspan12	protein_coding
ENSMUSG00000058975	Kcnc1	protein_coding
ENSMUSG00000007038	Neu1	protein_coding
ENSMUSG00000070867	Gm12824	protein_coding
ENSMUSG00000000861	Bcl11a	protein_coding
ENSMUSG00000028017	Egf	protein_coding
ENSMUSG00000038312	Edem2	protein_coding
ENSMUSG00000052760	A630001G21Rik	protein_coding
ENSMUSG00000006276	Eps15l1	protein_coding
ENSMUSG00000037638	Zbtb42	protein_coding
ENSMUSG00000022793	B4galt4	protein_coding
ENSMUSG00000060152	Pop5	protein_coding
ENSMUSG00000030839	Sergef	protein_coding
ENSMUSG00000072825	AW555464	protein_coding
ENSMUSG00000024985	Tcf7l2	protein_coding
ENSMUSG00000022414	Tab1	protein_coding
ENSMUSG00000029670	Ing3	protein_coding
ENSMUSG00000015083	C8g	protein_coding
ENSMUSG00000027243	Harbi1	protein_coding
ENSMUSG00000019935	Slc17a8	protein_coding
ENSMUSG00000031253	Srpx2	protein_coding
ENSMUSG00000036707	Cab39	protein_coding
ENSMUSG00000090639	Gm20425	protein_coding
ENSMUSG00000042428	Mgat3	protein_coding
ENSMUSG00000022412	Smcr7l	protein_coding
ENSMUSG00000091232	Gm17394	protein_coding
ENSMUSG00000041324	Inhba	protein_coding
ENSMUSG00000078297	Gm3150	protein_coding
ENSMUSG00000068391	Chrac1	protein_coding
ENSMUSG00000055198	Gm12830	protein_coding
ENSMUSG00000055137	5033411D12Rik	protein_coding
ENSMUSG00000042406	Atf4	protein_coding
ENSMUSG00000055210	Foxd2	protein_coding
ENSMUSG00000038145	Snrk	protein_coding
ENSMUSG00000049436	Upk1b	protein_coding
ENSMUSG00000025170	Rab40b	protein_coding
ENSMUSG00000012429	2810021B07Rik	protein_coding
ENSMUSG00000032985	5730522E02Rik	protein_coding
ENSMUSG00000044518	Foxe3	protein_coding
ENSMUSG00000090877	Hspa1b	protein_coding
ENSMUSG00000022798	4930435E12Rik	protein_coding
ENSMUSG00000036698	Eif2c2	protein_coding
ENSMUSG00000028719	Cmpk1	protein_coding
ENSMUSG00000038115	Ano2	protein_coding
ENSMUSG00000092123	Gm17581	protein_coding
ENSMUSG00000052160	Pld4	protein_coding
ENSMUSG00000040046	Tph1	protein_coding
ENSMUSG00000027611	Procr	protein_coding
ENSMUSG00000072082	Ccnf	protein_coding
ENSMUSG00000022790	Igsf11	protein_coding
ENSMUSG00000019732	Calr3	protein_coding
ENSMUSG00000043430	Psapl1	protein_coding
ENSMUSG00000032554	Trf	protein_coding
ENSMUSG00000073101	5730522E02Rik	protein_coding
ENSMUSG00000004018	Fancl	protein_coding
ENSMUSG00000074849	4932441B19Rik	protein_coding
ENSMUSG00000047284	Neurl4	protein_coding
ENSMUSG00000051518	Rps19bp1	protein_coding
ENSMUSG00000029198	Grpel1	protein_coding
ENSMUSG00000090658	Prss47	protein_coding
ENSMUSG00000026223	Itm2c	protein_coding
ENSMUSG00000038212	Hiatl1	protein_coding
ENSMUSG00000040506	Ambra1	protein_coding
ENSMUSG00000032226	Gcnt3	protein_coding
ENSMUSG00000031255	Sytl4	protein_coding
ENSMUSG00000022416	Cacna1i	protein_coding
ENSMUSG00000032224	Fam81a	protein_coding
ENSMUSG00000027612	Mmp24	protein_coding
ENSMUSG00000061080	Lsamp	protein_coding
ENSMUSG00000029196	Tada2b	protein_coding
ENSMUSG00000072812	Ahnak2	protein_coding
ENSMUSG00000028012	Rrh	protein_coding
ENSMUSG00000026224	4933407L21Rik	protein_coding
ENSMUSG00000037949	Ano10	protein_coding
ENSMUSG00000049608	Gpr55	protein_coding
ENSMUSG00000037594	BC022687	protein_coding
ENSMUSG00000050677	Ccdc96	protein_coding
ENSMUSG00000032220	Myo1e	protein_coding
ENSMUSG00000049806	Olfr466	protein_coding
ENSMUSG00000026226	Spata3	protein_coding
ENSMUSG00000047832	Cdca4	protein_coding
ENSMUSG00000052794	1700030K09Rik	protein_coding
ENSMUSG00000041297	Cdk13	protein_coding
ENSMUSG00000032999	Nlrp4f	protein_coding
ENSMUSG00000027613	Eif6	protein_coding
ENSMUSG00000028010	Gar1	protein_coding
ENSMUSG00000021298	Gpr132	protein_coding
ENSMUSG00000041740	Rnf10	protein_coding
ENSMUSG00000091222	Gm17723	protein_coding
ENSMUSG00000002799	Jag2	protein_coding
ENSMUSG00000029192	Tbc1d14	protein_coding
ENSMUSG00000074847	Gm10775	protein_coding
ENSMUSG00000064090	Vrk2	protein_coding
ENSMUSG00000021514	Zfp369	protein_coding
ENSMUSG00000008859	Rala	protein_coding
ENSMUSG00000022607	Ptk2	protein_coding
ENSMUSG00000000167	Pih1d2	protein_coding
ENSMUSG00000052488	Cherp	protein_coding
ENSMUSG00000048170	Mcmbp	protein_coding
ENSMUSG00000051716	Apon	protein_coding
ENSMUSG00000058952	Cfi	protein_coding
ENSMUSG00000050439	Enthd1	protein_coding
ENSMUSG00000026960	Arl6ip6	protein_coding
ENSMUSG00000002804	Nudt14	protein_coding
ENSMUSG00000054134	Umodl1	protein_coding
ENSMUSG00000047261	Gap43	protein_coding
ENSMUSG00000042351	Grap2	protein_coding
ENSMUSG00000074647	Fam83c	protein_coding
ENSMUSG00000011158	Brf1	protein_coding
ENSMUSG00000075054	1600012F09Rik	protein_coding
ENSMUSG00000049107	Ntf3	protein_coding
ENSMUSG00000022708	Zbtb20	protein_coding
ENSMUSG00000027999	Pla2g12a	protein_coding
ENSMUSG00000022408	Fam83f	protein_coding
ENSMUSG00000091971	Hspa1a	protein_coding
ENSMUSG00000045534	Kcna5	protein_coding
ENSMUSG00000009734	Pou6f2	protein_coding
ENSMUSG00000075334	Rprm	protein_coding
ENSMUSG00000047976	Kcna1	protein_coding
ENSMUSG00000047888	Tnrc6b	protein_coding
ENSMUSG00000032812	Arap1	protein_coding
ENSMUSG00000002803	Btbd6	protein_coding
ENSMUSG00000075419	Dolk	protein_coding
ENSMUSG00000038077	Kcna6	protein_coding
ENSMUSG00000019731	Slc35e1	protein_coding
ENSMUSG00000026227	2810459M11Rik	protein_coding
ENSMUSG00000005882	Uqcc	protein_coding
ENSMUSG00000060988	Galnt13	protein_coding
ENSMUSG00000092609	Gm20481	protein_coding
ENSMUSG00000021143	Pacs2	protein_coding
ENSMUSG00000069539	Scyl2	protein_coding
ENSMUSG00000055319	Sec23ip	protein_coding
ENSMUSG00000052533	Nup188	protein_coding
ENSMUSG00000068314	Gm6899	protein_coding
ENSMUSG00000031256	Cstf2	protein_coding
ENSMUSG00000032889	Gm6685	protein_coding
ENSMUSG00000032878	Ccdc85a	protein_coding
ENSMUSG00000000399	Ndufa9	protein_coding
ENSMUSG00000027997	Casp6	protein_coding
ENSMUSG00000006763	Saal1	protein_coding
ENSMUSG00000030344	Akap3	protein_coding
ENSMUSG00000026229	Psmd1	protein_coding
ENSMUSG00000045248	Med26	protein_coding
ENSMUSG00000044600	9130011J15Rik	protein_coding
ENSMUSG00000030345	Dyrk4	protein_coding
ENSMUSG00000047631	Apof	protein_coding
ENSMUSG00000040033	Stat2	protein_coding
ENSMUSG00000012211	Tex22	protein_coding
ENSMUSG00000027994	Ccdc109b	protein_coding
ENSMUSG00000070366	Ppapdc1a	protein_coding
ENSMUSG00000020467	Efemp1	protein_coding
ENSMUSG00000039253	Fn3krp	protein_coding
ENSMUSG00000042055	Wdr11	protein_coding
ENSMUSG00000031791	Tmem38a	protein_coding
ENSMUSG00000032540	Abhd5	protein_coding
ENSMUSG00000021144	Mta1	protein_coding
ENSMUSG00000048148	Nwd1	protein_coding
ENSMUSG00000022407	Adsl	protein_coding
ENSMUSG00000025175	Fn3k	protein_coding
ENSMUSG00000030346	Rad51ap1	protein_coding
ENSMUSG00000001052	Sec24b	protein_coding
ENSMUSG00000025817	Nudt5	protein_coding
ENSMUSG00000041236	Vps41	protein_coding
ENSMUSG00000041620	Mmp1b	protein_coding
ENSMUSG00000025075	Habp2	protein_coding
ENSMUSG00000036279	Zbtb20	protein_coding
ENSMUSG00000071552	Tigit	protein_coding
ENSMUSG00000020464	Pnpt1	protein_coding
ENSMUSG00000030347	D6Wsu163e	protein_coding
ENSMUSG00000022705	Drd3	protein_coding
ENSMUSG00000039230	Tbcd	protein_coding
ENSMUSG00000020940	1700023F06Rik	protein_coding
ENSMUSG00000022704	Qtrtd1	protein_coding
ENSMUSG00000033105	Lss	protein_coding
ENSMUSG00000062980	A430107O13Rik	protein_coding
ENSMUSG00000000183	Fgf6	protein_coding
ENSMUSG00000000182	Fgf23	protein_coding
ENSMUSG00000031257	Nox1	protein_coding
ENSMUSG00000038028	9630033F20Rik	protein_coding
ENSMUSG00000042788	Fam166b	protein_coding
ENSMUSG00000028718	Stil	protein_coding
ENSMUSG00000000168	Dlat	protein_coding
ENSMUSG00000049134	Nrap	protein_coding
ENSMUSG00000078972	Gm15557	protein_coding
ENSMUSG00000072489	Gm10362	protein_coding
ENSMUSG00000000184	Ccnd2	protein_coding
ENSMUSG00000036661	Dennd3	protein_coding
ENSMUSG00000046603	D9Ertd402e	protein_coding
ENSMUSG00000062365	Gm4968	protein_coding
ENSMUSG00000038259	Gdf5	protein_coding
ENSMUSG00000037997	Parp11	protein_coding
ENSMUSG00000015095	Fbxw5	protein_coding
ENSMUSG00000031622	Sin3b	protein_coding
ENSMUSG00000038241	Cep250	protein_coding
ENSMUSG00000007033	Hspa1l	protein_coding
ENSMUSG00000022701	2610015P09Rik	protein_coding
ENSMUSG00000042303	Sgsm3	protein_coding
ENSMUSG00000063328	Gm9396	protein_coding
ENSMUSG00000040026	Saa3	protein_coding
ENSMUSG00000058897	Col25a1	protein_coding
ENSMUSG00000040017	Saa4	protein_coding
ENSMUSG00000007050	Lsm2	protein_coding
ENSMUSG00000028458	Tesk1	protein_coding
ENSMUSG00000074115	Saa1	protein_coding
ENSMUSG00000061414	Efcab4b	protein_coding
ENSMUSG00000006356	Crip2	protein_coding
ENSMUSG00000030849	Fgfr2	protein_coding
ENSMUSG00000057465	Saa2	protein_coding
ENSMUSG00000035435	Abca17	protein_coding
ENSMUSG00000030350	Prmt8	protein_coding
ENSMUSG00000026824	Kcnj3	protein_coding
ENSMUSG00000050147	F2rl3	protein_coding
ENSMUSG00000006360	Crip1	protein_coding
ENSMUSG00000036304	Zdhhc23	protein_coding
ENSMUSG00000031258	Xkrx	protein_coding
ENSMUSG00000004383	Large	protein_coding
ENSMUSG00000014418	Hps5	protein_coding
ENSMUSG00000043613	Mmp3	protein_coding
ENSMUSG00000037466	4930427A07Rik	protein_coding
ENSMUSG00000036292	Gramd1c	protein_coding
ENSMUSG00000052549	Arl13a	protein_coding
ENSMUSG00000030351	Tspan11	protein_coding
ENSMUSG00000026228	Htr2b	protein_coding
ENSMUSG00000044787	4933400C05Rik	protein_coding
ENSMUSG00000043089	Mmp1a	protein_coding
ENSMUSG00000032218	Ccnb2	protein_coding
ENSMUSG00000049036	Tmem121	protein_coding
ENSMUSG00000067369	Trmt2b	protein_coding
ENSMUSG00000087642	Ighe	protein_coding
ENSMUSG00000056718	Gm13199	protein_coding
ENSMUSG00000079020	Slc45a4	protein_coding
ENSMUSG00000020941	Map3k14	protein_coding
ENSMUSG00000076612	Ighg2c	protein_coding
ENSMUSG00000030352	Tspan9	protein_coding
ENSMUSG00000028717	Tal1	protein_coding
ENSMUSG00000025816	Sec61a2	protein_coding
ENSMUSG00000062590	Armc9	protein_coding
ENSMUSG00000028459	Cd72	protein_coding
ENSMUSG00000040495	Chrm4	protein_coding
ENSMUSG00000032217	Rnf111	protein_coding
ENSMUSG00000047562	Mmp10	protein_coding
ENSMUSG00000031621	Isx	protein_coding
ENSMUSG00000090726	Gm17421	protein_coding
ENSMUSG00000052459	Atp6v1a	protein_coding
ENSMUSG00000078993	Gm11029	protein_coding
ENSMUSG00000027239	Mdk	protein_coding
ENSMUSG00000051804	Adam6b	protein_coding
ENSMUSG00000019232	Agxt2l1	protein_coding
ENSMUSG00000043945	Adam6a	protein_coding
ENSMUSG00000020463	Smek2	protein_coding
ENSMUSG00000076670	Ighv3-5	protein_coding
ENSMUSG00000041733	Coq5	protein_coding
ENSMUSG00000057610	Ighv1-73	protein_coding
ENSMUSG00000042063	Zfp386	protein_coding
ENSMUSG00000005800	Mmp8	protein_coding
ENSMUSG00000034518	Hmgxb4	protein_coding
ENSMUSG00000063905	Gm10139	protein_coding
ENSMUSG00000074843	Gm6901	protein_coding
ENSMUSG00000091347	Gm17353	protein_coding
ENSMUSG00000056771	Gm10010	protein_coding
ENSMUSG00000011171	Vipr2	protein_coding
ENSMUSG00000090456	Vmn2r-ps100	protein_coding
ENSMUSG00000071302	Gm10324	protein_coding
ENSMUSG00000030353	Tead4	protein_coding
ENSMUSG00000074838	Gm16512	protein_coding
ENSMUSG00000092087	Gm10772	protein_coding
ENSMUSG00000074834	Vmn2r-ps104	protein_coding
ENSMUSG00000074832	2410141K09Rik	protein_coding
ENSMUSG00000045281	Gpr20	protein_coding
ENSMUSG00000024030	Abcg1	protein_coding
ENSMUSG00000078997	Vmn2r-ps105	protein_coding
ENSMUSG00000059895	Ptp4a3	protein_coding
ENSMUSG00000070323	Mmp27	protein_coding
ENSMUSG00000028716	Pdzk1ip1	protein_coding
ENSMUSG00000074830	Zfp640	protein_coding
ENSMUSG00000001441	Npepps	protein_coding
ENSMUSG00000078996	Vmn2r-ps106	protein_coding
ENSMUSG00000090632	Gm17404	protein_coding
ENSMUSG00000074840	Gm17449	protein_coding
ENSMUSG00000071295	Gm10323	protein_coding
ENSMUSG00000019948	Actr6	protein_coding
ENSMUSG00000026826	Nr4a2	protein_coding
ENSMUSG00000071292	Gm5451	protein_coding
ENSMUSG00000021520	Uqcrb	protein_coding
ENSMUSG00000033578	Tmem35	protein_coding
ENSMUSG00000072487	Gm628	protein_coding
ENSMUSG00000042292	Mkl1	protein_coding
ENSMUSG00000024130	Abca3	protein_coding
ENSMUSG00000041084	Ostc	protein_coding
ENSMUSG00000074826	Gm10767	protein_coding
ENSMUSG00000042050	Wdr60	protein_coding
ENSMUSG00000009115	1700027D21Rik	protein_coding
ENSMUSG00000031262	Cenpi	protein_coding
ENSMUSG00000018425	Dhx40	protein_coding
ENSMUSG00000062006	Rpl34	protein_coding
ENSMUSG00000022698	Naa50	protein_coding
ENSMUSG00000039238	Zfp750	protein_coding
ENSMUSG00000021519	Mterfd1	protein_coding
ENSMUSG00000018620	Mmp20	protein_coding
ENSMUSG00000042870	Tom1	protein_coding
ENSMUSG00000009013	Dynll1	protein_coding
ENSMUSG00000001521	Tulp3	protein_coding
ENSMUSG00000046605	B3gntl1	protein_coding
ENSMUSG00000029190	D5Ertd579e	protein_coding
ENSMUSG00000027985	Lef1	protein_coding
ENSMUSG00000001155	Ftcd	protein_coding
ENSMUSG00000078984	Gm11027	protein_coding
ENSMUSG00000021171	Esyt2	protein_coding
ENSMUSG00000086361	Gm6569	protein_coding
ENSMUSG00000020462	Ccdc104	protein_coding
ENSMUSG00000092491	Nrap	protein_coding
ENSMUSG00000075609	Gm7935	protein_coding
ENSMUSG00000048668	5930416I19Rik	protein_coding
ENSMUSG00000068284	Gm608	protein_coding
ENSMUSG00000047155	Cyp4x1	protein_coding
ENSMUSG00000034730	Bai1	protein_coding
ENSMUSG00000005413	Hmox1	protein_coding
ENSMUSG00000047036	Zfp445	protein_coding
ENSMUSG00000060708	Cno	protein_coding
ENSMUSG00000055302	Mrfap1	protein_coding
ENSMUSG00000063488	Zfp167	protein_coding
ENSMUSG00000001517	Foxm1	protein_coding
ENSMUSG00000021314	Amph	protein_coding
ENSMUSG00000057895	Zfp105	protein_coding
ENSMUSG00000032212	Sltm	protein_coding
ENSMUSG00000029119	Man2b2	protein_coding
ENSMUSG00000021518	Ptdss1	protein_coding
ENSMUSG00000022696	Sidt1	protein_coding
ENSMUSG00000027984	Hadh	protein_coding
ENSMUSG00000032551	1110059G10Rik	protein_coding
ENSMUSG00000018623	Mmp7	protein_coding
ENSMUSG00000091682	Gm17356	protein_coding
ENSMUSG00000003062	Stard3nl	protein_coding
ENSMUSG00000029538	Srsf9	protein_coding
ENSMUSG00000025076	Casp7	protein_coding
ENSMUSG00000036768	Kif15	protein_coding
ENSMUSG00000032740	Ccdc88a	protein_coding
ENSMUSG00000005410	Mcm5	protein_coding
ENSMUSG00000079304	4933413G19Rik	protein_coding
ENSMUSG00000002808	Epdr1	protein_coding
ENSMUSG00000074516	Gm10709	protein_coding
ENSMUSG00000035818	9930023K05Rik	protein_coding
ENSMUSG00000050912	Tmem123	protein_coding
ENSMUSG00000021319	Sfrp4	protein_coding
ENSMUSG00000091262	D430020J02Rik	protein_coding
ENSMUSG00000074646	6430550D23Rik	protein_coding
ENSMUSG00000042029	Ncapg2	protein_coding
ENSMUSG00000001520	Nrip2	protein_coding
ENSMUSG00000090641	Zfp712	protein_coding
ENSMUSG00000027983	Cyp2u1	protein_coding
ENSMUSG00000024029	Tff3	protein_coding
ENSMUSG00000058883	Zfp708	protein_coding
ENSMUSG00000041138	Txndc3	protein_coding
ENSMUSG00000040479	Dgkz	protein_coding
ENSMUSG00000000223	Drp2	protein_coding
ENSMUSG00000034255	Arhgap27	protein_coding
ENSMUSG00000026942	Traf2	protein_coding
ENSMUSG00000066071	Cyp4a12a	protein_coding
ENSMUSG00000050931	Sgms2	protein_coding
ENSMUSG00000050164	Mchr1	protein_coding
ENSMUSG00000074824	Zfp708	protein_coding
ENSMUSG00000025077	Dclre1a	protein_coding
ENSMUSG00000023170	Gps2	protein_coding
ENSMUSG00000057396	Zfp759	protein_coding
ENSMUSG00000022404	Slc25a17	protein_coding
ENSMUSG00000001518	Itfg2	protein_coding
ENSMUSG00000029671	Wnt16	protein_coding
ENSMUSG00000034472	Rasd2	protein_coding
ENSMUSG00000028032	Papss1	protein_coding
ENSMUSG00000058900	Rsl1	protein_coding
ENSMUSG00000005881	Ergic3	protein_coding
ENSMUSG00000056553	Ptprn2	protein_coding
ENSMUSG00000025078	Nhlrc2	protein_coding
ENSMUSG00000022403	St13	protein_coding
ENSMUSG00000051037	Zfp455	protein_coding
ENSMUSG00000072432	Gm10358	protein_coding
ENSMUSG00000031620	1700007B14Rik	protein_coding
ENSMUSG00000047462	A530099J19Rik	protein_coding
ENSMUSG00000033688	1300017J02Rik	protein_coding
ENSMUSG00000055480	Zfp458	protein_coding
ENSMUSG00000029672	Fam3c	protein_coding
ENSMUSG00000019951	Uhrf1bp1l	protein_coding
ENSMUSG00000028460	Sit1	protein_coding
ENSMUSG00000053101	Gpr141	protein_coding
ENSMUSG00000055341	Zfp457	protein_coding
ENSMUSG00000028031	Dkk2	protein_coding
ENSMUSG00000041112	Elmo1	protein_coding
ENSMUSG00000091721	Gm5549	protein_coding
ENSMUSG00000030357	Fkbp4	protein_coding
ENSMUSG00000035283	Adrb1	protein_coding
ENSMUSG00000028029	Aimp1	protein_coding
ENSMUSG00000057842	Zfp595	protein_coding
ENSMUSG00000079445	B3gnt7	protein_coding
ENSMUSG00000067063	Gm6990	protein_coding
ENSMUSG00000035173	A630007B06Rik	protein_coding
ENSMUSG00000020241	Col6a2	protein_coding
ENSMUSG00000029536	Gatc	protein_coding
ENSMUSG00000091806	Gm5258	protein_coding
ENSMUSG00000026234	Ncl	protein_coding
ENSMUSG00000028461	Ccdc107	protein_coding
ENSMUSG00000028030	Tbck	protein_coding
ENSMUSG00000031618	Nr3c2	protein_coding
ENSMUSG00000029535	Triap1	protein_coding
ENSMUSG00000041992	Rapgef5	protein_coding
ENSMUSG00000041697	Cox6a1	protein_coding
ENSMUSG00000030359	Pzp	protein_coding
ENSMUSG00000032555	Topbp1	protein_coding
ENSMUSG00000056552	Zfp953	protein_coding
ENSMUSG00000032064	Dixdc1	protein_coding
ENSMUSG00000013338	Fer1l4	protein_coding
ENSMUSG00000032673	Prorsd1	protein_coding
ENSMUSG00000078597	Cyp4a12b	protein_coding
ENSMUSG00000078995	Zfp456	protein_coding
ENSMUSG00000068748	Ptprz1	protein_coding
ENSMUSG00000040998	Npnt	protein_coding
ENSMUSG00000043065	Spice1	protein_coding
ENSMUSG00000025081	Tdrd1	protein_coding
ENSMUSG00000022401	Xpnpep3	protein_coding
ENSMUSG00000025383	Il23a	protein_coding
ENSMUSG00000021322	Aoah	protein_coding
ENSMUSG00000024028	Tff2	protein_coding
ENSMUSG00000009596	Taf7l	protein_coding
ENSMUSG00000029120	Ppp2r2c	protein_coding
ENSMUSG00000020459	Mtif2	protein_coding
ENSMUSG00000030653	Pde2a	protein_coding
ENSMUSG00000022603	1700016M24Rik	protein_coding
ENSMUSG00000005682	Pan2	protein_coding
ENSMUSG00000037148	Arhgap10	protein_coding
ENSMUSG00000047228	BC048546	protein_coding
ENSMUSG00000021175	Cdca7l	protein_coding
ENSMUSG00000051517	E130306D19Rik	protein_coding
ENSMUSG00000026827	Gpd2	protein_coding
ENSMUSG00000054256	Msi1	protein_coding
ENSMUSG00000029695	Aass	protein_coding
ENSMUSG00000091747	D17H6S56E-5	protein_coding
ENSMUSG00000047108	Dnajb7	protein_coding
ENSMUSG00000022400	Rbx1	protein_coding
ENSMUSG00000026237	Nmur1	protein_coding
ENSMUSG00000048007	Timm8a1	protein_coding
ENSMUSG00000026860	Sh3glb2	protein_coding
ENSMUSG00000067125	Rpl30-ps6	protein_coding
ENSMUSG00000026238	Ptma	protein_coding
ENSMUSG00000091198	Gm5218	protein_coding
ENSMUSG00000006599	Gtf2h1	protein_coding
ENSMUSG00000055024	Ep300	protein_coding
ENSMUSG00000018581	Dnahc11	protein_coding
ENSMUSG00000031264	Btk	protein_coding
ENSMUSG00000038180	Spag4	protein_coding
ENSMUSG00000037134	Prmt10	protein_coding
ENSMUSG00000028018	Gstcd	protein_coding
ENSMUSG00000030361	Klrb1a	protein_coding
ENSMUSG00000071550	Wdr52	protein_coding
ENSMUSG00000020460	Rps27a	protein_coding
ENSMUSG00000026239	Pde6d	protein_coding
ENSMUSG00000057367	Birc2	protein_coding
ENSMUSG00000042444	Fam63b	protein_coding
ENSMUSG00000049742	C330006D17Rik	protein_coding
ENSMUSG00000039474	Wfs1	protein_coding
ENSMUSG00000022602	Arc	protein_coding
ENSMUSG00000022394	L3mbtl2	protein_coding
ENSMUSG00000032000	Birc3	protein_coding
ENSMUSG00000031617	Tmem184c	protein_coding
ENSMUSG00000037827	Gm5884	protein_coding
ENSMUSG00000029697	Fezf1	protein_coding
ENSMUSG00000030363	Clec2j	protein_coding
ENSMUSG00000030364	Clec2h	protein_coding
ENSMUSG00000020461	1700034F02Rik	protein_coding
ENSMUSG00000017978	Cadps2	protein_coding
ENSMUSG00000079299	Klrb1	protein_coding
ENSMUSG00000046380	Jrk	protein_coding
ENSMUSG00000025082	Vwa2	protein_coding
ENSMUSG00000026240	Cops7b	protein_coding
ENSMUSG00000024032	Tff1	protein_coding
ENSMUSG00000030325	Klrb1c	protein_coding
ENSMUSG00000031616	Ednra	protein_coding
ENSMUSG00000028715	Cyp4a14	protein_coding
ENSMUSG00000044276	4933427E11Rik	protein_coding
ENSMUSG00000024034	Tmprss3	protein_coding
ENSMUSG00000042869	Olfr1370	protein_coding
ENSMUSG00000063646	Jakmip1	protein_coding
ENSMUSG00000022598	Psca	protein_coding
ENSMUSG00000060404	Olfr1369-ps1	protein_coding
ENSMUSG00000039208	Metrnl	protein_coding
ENSMUSG00000074643	Cpne1	protein_coding
ENSMUSG00000071522	Olfr263	protein_coding
ENSMUSG00000028016	Ints12	protein_coding
ENSMUSG00000022595	Lypd2	protein_coding
ENSMUSG00000045474	Olfr1368	protein_coding
ENSMUSG00000022687	Boc	protein_coding
ENSMUSG00000021326	Trim27	protein_coding
ENSMUSG00000020458	Rtn4	protein_coding
ENSMUSG00000056665	4930572J05Rik	protein_coding
ENSMUSG00000022596	Slurp1	protein_coding
ENSMUSG00000037101	Ttc29	protein_coding
ENSMUSG00000075605	2300005B03Rik	protein_coding
ENSMUSG00000079435	Rpl36a	protein_coding
ENSMUSG00000079298	Klrb1b	protein_coding
ENSMUSG00000022594	Lynx1	protein_coding
ENSMUSG00000066072	Cyp4a10	protein_coding
ENSMUSG00000078812	Eif5a	protein_coding
ENSMUSG00000074213	Gm10642	protein_coding
ENSMUSG00000034634	Ly6d	protein_coding
ENSMUSG00000039198	Ptchd3	protein_coding
ENSMUSG00000054693	Adam10	protein_coding
ENSMUSG00000026241	Nppc	protein_coding
ENSMUSG00000066233	Tmem42	protein_coding
ENSMUSG00000044678	Ly6k	protein_coding
ENSMUSG00000078994	Zfp429	protein_coding
ENSMUSG00000055560	Zfp459	protein_coding
ENSMUSG00000025787	Tgm4	protein_coding
ENSMUSG00000069206	Zfp874a	protein_coding
ENSMUSG00000053333	Dis3l2	protein_coding
ENSMUSG00000090468	Gm5331	protein_coding
ENSMUSG00000090164	BC035044	protein_coding
ENSMUSG00000059839	Zfp874b	protein_coding
ENSMUSG00000068349	Gml	protein_coding
ENSMUSG00000063229	Ldha	protein_coding
ENSMUSG00000040969	D630013G24Rik	protein_coding
ENSMUSG00000062632	Gm12588	protein_coding
ENSMUSG00000031688	Pou4f2	protein_coding
ENSMUSG00000031266	Gla	protein_coding
ENSMUSG00000078564	Gm9631	protein_coding
ENSMUSG00000030365	Clec2i	protein_coding
ENSMUSG00000071291	Zfp58	protein_coding
ENSMUSG00000082286	Pisd-ps1	pseudogene
ENSMUSG00000037070	Rbmxl1	protein_coding
ENSMUSG00000068600	Hemt1	protein_coding
ENSMUSG00000025083	Afap1l2	protein_coding
ENSMUSG00000031684	Slc10a7	protein_coding
ENSMUSG00000025815	Dhtkd1	protein_coding
ENSMUSG00000018427	Ypel2	protein_coding
ENSMUSG00000087111	Gm11399	antisense
ENSMUSG00000081208	Gm11400	pseudogene
ENSMUSG00000075604	Cyp11b1	protein_coding
ENSMUSG00000028463	Car9	protein_coding
ENSMUSG00000025323	Sp4	protein_coding
ENSMUSG00000086049	Gm12735	antisense
ENSMUSG00000007029	Vars	protein_coding
ENSMUSG00000028013	Ppa2	protein_coding
ENSMUSG00000082658	Fau-ps2	pseudogene
ENSMUSG00000053263	Gm12592	lincRNA
ENSMUSG00000084941	Gm11944	processed_transcript
ENSMUSG00000061666	Gdpd1	protein_coding
ENSMUSG00000048562	Sp8	protein_coding
ENSMUSG00000087055	Gm11948	sense_intronic
ENSMUSG00000034587	8430429K09Rik	lincRNA
ENSMUSG00000044526	Znrf4	protein_coding
ENSMUSG00000057354	4930430O22Rik	protein_coding
ENSMUSG00000029522	Pla2g1b	protein_coding
ENSMUSG00000022589	Cyp11b2	protein_coding
ENSMUSG00000072791	Abcb5	protein_coding
ENSMUSG00000071285	Zfp87	protein_coding
ENSMUSG00000045427	Hnrnph2	protein_coding
ENSMUSG00000000248	Clec2g	protein_coding
ENSMUSG00000042625	Safb2	protein_coding
ENSMUSG00000069204	Zfp748	protein_coding
